"municipality_owner_id","municipality_id","owner_role","owner_display_label","notification_channel","active_flag","email_address"
"OWN-001","M001","field_compliance","Owner 01","email","true","owner01@example.org"
"OWN-002","M002","services_agency","Owner 02","email","true","owner02@example.org"
"OWN-003","M003","field_compliance","Owner 03","email","true","owner03@example.org"
"OWN-004","M004","services_agency","Owner 04","email","true","owner04@example.org"
"OWN-005","M005","field_compliance","Owner 05","email","true","owner05@example.org"
"OWN-006","M006","services_agency","Owner 06","email","true","owner06@example.org"
"OWN-007","M007","field_compliance","Owner 07","email","true","owner07@example.org"
"OWN-008","M008","services_agency","Owner 08","email","true","owner08@example.org"
"OWN-009","M009","field_compliance","Owner 09","email","true","owner09@example.org"
"OWN-010","M010","services_agency","Owner 10","email","true","owner10@example.org"
"OWN-011","M011","field_compliance","Owner 11","email","true","owner11@example.org"
"OWN-012","M012","services_agency","Owner 12","email","true","owner12@example.org"
"OWN-013","M013","field_compliance","Owner 13","email","true","owner13@example.org"
"OWN-014","M014","services_agency","Owner 14","email","true","owner14@example.org"
"OWN-015","M015","field_compliance","Owner 15","email","true","owner15@example.org"
"OWN-016","M016","services_agency","Owner 16","email","true","owner16@example.org"
"OWN-017","M017","field_compliance","Owner 17","email","true","owner17@example.org"
"OWN-018","M018","services_agency","Owner 18","email","true","owner18@example.org"
"OWN-019","M019","field_compliance","Owner 19","email","true","owner19@example.org"
"OWN-020","M020","services_agency","Owner 20","email","true","owner20@example.org"
"OWN-021","M021","field_compliance","Owner 21","email","true","owner21@example.org"
"OWN-022","M022","services_agency","Owner 22","email","true","owner22@example.org"
"OWN-023","M023","field_compliance","Owner 23","email","true","owner23@example.org"
"OWN-024","M024","services_agency","Owner 24","email","true","owner24@example.org"
"OWN-025","M025","field_compliance","Owner 25","email","true","owner25@example.org"
